type	latitude	longitude	altitude (m)	name	desc
T	45.862976000	6.783182000	1696.0		
T	45.862717000	6.782970000	1696.3		
T	45.862621000	6.783103000	1703.4		
T	45.862530000	6.783054000	1707.5		
T	45.862331000	6.783094000	1716.5		
T	45.862236000	6.782870000	1721.5		
T	45.862164000	6.782955000	1724.8		
T	45.862099000	6.782887000	1729.0		
T	45.862152000	6.782905000	1725.9		
T	45.862114000	6.782940000	1727.6		
T	45.862156000	6.782907000	1725.7		
T	45.862019000	6.783114000	1731.4		
T	45.861881000	6.783084000	1738.6		
T	45.861736000	6.783217000	1746.6		
T	45.861637000	6.782981000	1755.1		
T	45.861675000	6.782788000	1757.2		
T	45.861584000	6.782787000	1764.3		
T	45.861244000	6.781697000	1783.0		
T	45.860828000	6.781546000	1799.9		
T	45.860806000	6.781489000	1798.9		
T	45.860668000	6.781481000	1805.1		
T	45.860481000	6.781268000	1809.9		
T	45.860481000	6.780896000	1809.5		
T	45.860401000	6.780835000	1813.2		
T	45.860168000	6.780870000	1823.3		
T	45.860081000	6.780818000	1826.7		
T	45.860092000	6.780599000	1825.0		
T	45.859585000	6.780242000	1837.5		
T	45.859379000	6.780426000	1840.9		
T	45.859402000	6.780666000	1843.3		
T	45.859310000	6.780971000	1848.2		
T	45.859379000	6.780683000	1843.9		
T	45.859329000	6.780250000	1840.2		
T	45.859478000	6.780184000	1838.6		
T	45.859505000	6.780052000	1838.3		
T	45.859215000	6.780029000	1841.5		
T	45.859138000	6.779964000	1842.7		
T	45.859142000	6.779814000	1844.3		
T	45.858803000	6.779557000	1850.7		
T	45.858707000	6.779223000	1856.9		
T	45.858646000	6.779234000	1856.8		
T	45.858448000	6.779038000	1862.1		
T	45.858364000	6.778746000	1869.5		
T	45.858208000	6.778502000	1877.4		
T	45.858074000	6.778417000	1881.2		
T	45.857929000	6.778422000	1884.8		
T	45.857883000	6.778313000	1889.7		
T	45.857712000	6.778235000	1896.9		
T	45.857677000	6.777963000	1904.5		
T	45.857643000	6.778009000	1904.0		
T	45.857674000	6.777863000	1907.0		
T	45.857517000	6.777491000	1914.2		
T	45.857204000	6.777277000	1921.7		
T	45.857216000	6.777205000	1922.3		
T	45.857002000	6.776834000	1928.1		
T	45.856972000	6.776626000	1929.7		
T	45.856857000	6.776494000	1933.4		
T	45.856758000	6.776486000	1935.7		
T	45.856407000	6.776064000	1944.1		
T	45.856030000	6.775316000	1962.5		
T	45.855873000	6.775177000	1967.7		
T	45.855717000	6.774829000	1974.8		
T	45.855518000	6.774677000	1979.4		
T	45.855331000	6.774383000	1987.4		
T	45.855240000	6.774404000	1988.6		
T	45.854919000	6.773999000	1996.4		
T	45.854519000	6.773750000	2005.8		
T	45.854210000	6.773433000	2010.8		
T	45.853924000	6.773315000	2014.9		
T	45.853737000	6.773151000	2020.4		
T	45.853230000	6.772954000	2029.4		
T	45.853058000	6.772735000	2034.9		
T	45.852722000	6.772490000	2042.0		
T	45.852695000	6.772363000	2045.2		
T	45.852177000	6.772028000	2057.0		
T	45.852100000	6.771847000	2061.9		
T	45.851959000	6.771830000	2062.8		
T	45.851753000	6.771686000	2070.1		
T	45.851715000	6.771561000	2074.6		
T	45.851761000	6.771574000	2073.4		
T	45.851383000	6.771310000	2087.5		
T	45.851089000	6.770963000	2096.4		
T	45.850971000	6.770678000	2103.0		
T	45.851059000	6.770670000	2101.1		
T	45.850906000	6.770401000	2108.5		
T	45.850498000	6.770074000	2118.4		
T	45.850304000	6.770076000	2117.2		
T	45.850170000	6.770276000	2116.9		
T	45.850109000	6.770105000	2110.4		
T	45.850040000	6.770203000	2110.7		
T	45.849979000	6.769899000	2098.1		
T	45.850109000	6.769541000	2096.2		
T	45.850014000	6.769519000	2090.4		
T	45.849712000	6.769751000	2079.5		
T	45.849644000	6.769422000	2068.9		
T	45.849548000	6.769429000	2064.1		
T	45.849438000	6.769567000	2061.3		
T	45.849415000	6.769368000	2056.3		
T	45.849297000	6.769282000	2048.1		
T	45.849331000	6.769231000	2049.2		
T	45.849216000	6.769138000	2040.5		
T	45.849125000	6.769199000	2036.2		
T	45.849144000	6.769139000	2036.0		
T	45.849041000	6.769145000	2029.8		
T	45.849060000	6.768971000	2027.2		
T	45.848888000	6.769192000	2021.6		
T	45.848881000	6.768848000	2014.1		
T	45.848763000	6.768907000	2007.7		
T	45.848778000	6.768629000	2003.9		
T	45.848480000	6.767915000	1975.8		
T	45.848507000	6.767797000	1977.6		
T	45.848385000	6.767591000	1970.1		
T	45.848221000	6.767768000	1956.6		
T	45.848095000	6.768144000	1949.7		
T	45.847755000	6.768398000	1940.4		
T	45.847614000	6.768434000	1936.4		
T	45.847656000	6.767776000	1919.0		
T	45.847431000	6.767241000	1900.9		
T	45.847183000	6.767583000	1889.9		
T	45.847157000	6.767322000	1883.2		
T	45.846935000	6.766847000	1866.1		
T	45.846863000	6.767028000	1862.8		
T	45.846577000	6.767134000	1851.3		
T	45.846527000	6.767131000	1849.2		
T	45.846539000	6.766934000	1844.9		
T	45.846470000	6.766857000	1840.4		
T	45.846130000	6.766932000	1829.3		
T	45.846119000	6.766657000	1822.1		
T	45.846058000	6.766476000	1816.7		
T	45.845978000	6.766477000	1813.9		
T	45.845955000	6.766346000	1810.1		
T	45.845871000	6.766377000	1807.3		
T	45.845840000	6.766324000	1805.1		
T	45.845886000	6.766326000	1807.0		
T	45.845497000	6.766096000	1788.0		
T	45.845348000	6.765916000	1778.9		
T	45.845257000	6.765934000	1776.1		
T	45.845261000	6.765792000	1772.6		
T	45.845123000	6.765708000	1765.4		
T	45.845142000	6.765643000	1764.9		
T	45.845062000	6.765579000	1760.2		
T	45.844845000	6.765083000	1744.0		
T	45.844868000	6.765025000	1745.0		
T	45.844917000	6.765056000	1747.6		
T	45.844772000	6.765069000	1740.1		
T	45.844818000	6.765053000	1742.4		
T	45.844032000	6.764582000	1707.0		
T	45.843941000	6.764592000	1702.5		
T	45.843925000	6.764711000	1701.5		
T	45.843784000	6.764722000	1696.6		
T	45.843498000	6.764367000	1681.7		
T	45.843311000	6.764299000	1674.3		
T	45.843147000	6.764044000	1666.3		
T	45.842960000	6.763958000	1659.2		
T	45.842918000	6.763844000	1656.6		
T	45.842747000	6.763779000	1651.0		
T	45.842579000	6.763614000	1644.3		
T	45.842384000	6.763562000	1639.0		
T	45.841442000	6.762562000	1610.7		
T	45.841209000	6.762067000	1601.2		
T	45.841103000	6.761038000	1587.9		
T	45.840786000	6.760101000	1575.8		
T	45.840443000	6.760035000	1572.6		
T	45.839993000	6.760116000	1567.8		
T	45.839657000	6.760258000	1565.4		
T	45.839447000	6.760115000	1562.9		
T	45.839214000	6.760207000	1561.2		
T	45.839153000	6.760008000	1560.0		
T	45.839054000	6.760211000	1560.8		
T	45.839130000	6.760075000	1560.3		
T	45.839127000	6.759821000	1558.6		
T	45.839157000	6.760101000	1560.4		
T	45.839088000	6.760164000	1560.6		
T	45.839233000	6.760234000	1561.5		
T	45.839336000	6.760200000	1562.4		
T	45.839157000	6.760110000	1560.4		
T	45.839172000	6.760184000	1560.7		
T	45.839207000	6.759564000	1557.6		
T	45.839138000	6.759855000	1558.9		
T	45.839161000	6.760152000	1560.5		
T	45.839294000	6.760095000	1561.4		
T	45.839207000	6.760010000	1560.3		
T	45.839115000	6.760048000	1560.2		
T	45.839115000	6.760175000	1560.6		
T	45.839123000	6.760091000	1560.3		
T	45.839172000	6.760119000	1560.5		
T	45.839123000	6.760126000	1560.5		
T	45.839249000	6.759993000	1560.5		
T	45.839062000	6.760158000	1560.6		
T	45.839119000	6.759976000	1559.8		
T	45.839165000	6.759959000	1559.7		
T	45.839073000	6.760139000	1560.5		
T	45.839104000	6.760343000	1561.2		
T	45.839119000	6.760059000	1560.2		
T	45.839058000	6.760593000	1561.6		
T	45.839046000	6.760171000	1560.6		
T	45.838631000	6.760398000	1561.8		
T	45.839012000	6.760189000	1560.7		
T	45.838776000	6.760238000	1560.9		
T	45.838921000	6.760421000	1561.1		
T	45.838978000	6.760347000	1561.1		
T	45.838932000	6.760149000	1560.5		
T	45.839157000	6.760050000	1560.2		
T	45.839050000	6.760171000	1560.6		
T	45.839054000	6.759877000	1558.9		
T	45.838959000	6.759719000	1557.2		
T	45.838963000	6.759510000	1555.4		
T	45.838879000	6.759338000	1552.1		
T	45.838966000	6.759186000	1550.4		
T	45.838902000	6.759088000	1549.4		
T	45.838863000	6.759124000	1549.5		
T	45.838921000	6.757797000	1555.4		
T	45.839001000	6.757480000	1561.4		
T	45.839001000	6.757268000	1567.5		
T	45.838917000	6.757204000	1570.3		
T	45.839153000	6.756877000	1579.8		
T	45.839001000	6.756705000	1587.7		
T	45.839020000	6.756641000	1590.2		
T	45.839451000	6.756347000	1601.7		
T	45.839550000	6.756188000	1607.2		
T	45.839600000	6.755922000	1617.9		
T	45.839466000	6.755951000	1618.6		
T	45.839333000	6.755883000	1622.0		
T	45.839371000	6.755932000	1619.9		
T	45.839420000	6.755919000	1620.4		
T	45.839340000	6.755831000	1624.1		
T	45.838947000	6.755765000	1631.0		
T	45.838615000	6.755869000	1631.0		
T	45.837917000	6.755632000	1654.1		
T	45.837875000	6.755530000	1659.1		
T	45.837837000	6.755577000	1657.4		
T	45.837608000	6.755510000	1668.2		
T	45.837578000	6.755594000	1666.2		
T	45.837345000	6.755615000	1677.9		
T	45.837254000	6.755724000	1677.8		
T	45.837078000	6.755628000	1686.4		
T	45.836826000	6.755597000	1693.6		
T	45.836708000	6.755498000	1700.6		
T	45.836716000	6.755232000	1708.9		
T	45.836628000	6.755296000	1709.2		
T	45.836395000	6.755243000	1720.3		
T	45.836311000	6.755157000	1724.6		
T	45.836315000	6.754821000	1728.9		
T	45.836227000	6.754826000	1730.9		
T	45.836040000	6.754531000	1735.5		
T	45.836048000	6.754253000	1734.8		
T	45.836273000	6.753455000	1736.2		
T	45.836449000	6.752461000	1740.7		
T	45.836071000	6.752297000	1743.2		
T	45.835869000	6.752001000	1741.9		
T	45.835609000	6.751799000	1739.0		
T	45.835316000	6.751756000	1738.0		
T	45.835186000	6.751667000	1737.7		
T	45.835056000	6.751732000	1739.3		
T	45.834946000	6.751439000	1738.9		
T	45.835110000	6.751585000	1737.9		
T	45.835587000	6.751797000	1738.8		
T	45.835484000	6.751483000	1737.1		
T	45.835461000	6.750706000	1731.5		
T	45.835903000	6.750037000	1724.0		
T	45.836109000	6.749547000	1720.1		
T	45.836170000	6.748970000	1714.7		
T	45.836075000	6.748721000	1711.7		
T	45.835846000	6.748557000	1709.8		
T	45.835644000	6.748234000	1702.8		
T	45.835350000	6.748108000	1700.9		
T	45.834991000	6.747743000	1696.2		
T	45.834499000	6.746920000	1682.7		
T	45.834045000	6.746543000	1682.1		
T	45.833984000	6.746563000	1683.9		
T	45.833290000	6.746179000	1672.0		
T	45.832890000	6.746153000	1670.4		
T	45.832584000	6.746017000	1662.6		
T	45.832329000	6.746015000	1661.1		
T	45.832188000	6.745948000	1657.1		
T	45.831833000	6.746010000	1657.5		
T	45.831192000	6.745867000	1647.5		
T	45.830902000	6.745703000	1641.5		
T	45.830517000	6.745052000	1625.2		
T	45.829990000	6.744706000	1620.5		
T	45.829826000	6.744425000	1612.2		
T	45.829453000	6.744002000	1600.6		
T	45.829254000	6.743965000	1600.3		
T	45.829147000	6.743816000	1596.0		
T	45.829185000	6.743692000	1592.3		
T	45.829517000	6.743536000	1586.3		
T	45.829544000	6.743472000	1584.3		
T	45.829399000	6.743192000	1576.9		
T	45.829243000	6.743038000	1572.5		
T	45.829304000	6.742723000	1563.9		
T	45.829178000	6.742309000	1551.6		
T	45.829243000	6.741921000	1540.0		
T	45.829166000	6.741845000	1536.4		
T	45.829315000	6.741502000	1525.4		
T	45.829170000	6.741539000	1525.4		
T	45.828869000	6.741989000	1536.2		
T	45.828712000	6.741987000	1534.6		
T	45.828171000	6.741657000	1528.0		
T	45.828007000	6.740528000	1511.9		
T	45.827866000	6.740337000	1512.2		
T	45.827473000	6.740030000	1511.9		
T	45.827271000	6.740487000	1515.0		
T	45.826851000	6.740784000	1504.2		
T	45.826542000	6.741193000	1505.1		
T	45.826172000	6.741174000	1496.1		
T	45.825394000	6.740668000	1473.3		
T	45.825302000	6.740706000	1471.4		
T	45.825237000	6.740824000	1470.3		
T	45.825245000	6.741132000	1471.6		
T	45.825455000	6.742181000	1465.0		
T	45.825294000	6.743032000	1449.9		
T	45.824974000	6.743891000	1442.1		
T	45.824932000	6.743914000	1440.9		
T	45.824909000	6.743837000	1439.0		
T	45.824905000	6.743903000	1439.8		
T	45.824917000	6.743759000	1438.3		
T	45.824783000	6.743792000	1433.6		
T	45.825020000	6.743862000	1443.9		
T	45.824757000	6.743867000	1433.9		
T	45.824364000	6.743625000	1423.2		
T	45.824108000	6.742855000	1403.6		
T	45.823639000	6.741928000	1385.4		
T	45.823418000	6.740735000	1360.5		
T	45.822998000	6.739921000	1349.9		
T	45.822845000	6.739465000	1346.2		
T	45.822971000	6.739247000	1333.0		
T	45.823021000	6.738835000	1323.0		
T	45.823009000	6.738217000	1311.7		
T	45.822887000	6.737724000	1306.3		
T	45.823071000	6.735028000	1260.4		
T	45.822830000	6.734624000	1255.5		
T	45.822731000	6.733303000	1236.4		
T	45.822777000	6.733220000	1235.4		
T	45.822639000	6.733156000	1233.9		
T	45.822151000	6.733142000	1233.3		
T	45.822067000	6.733056000	1232.6		
T	45.822056000	6.732924000	1230.7		
T	45.822124000	6.732815000	1228.9		
T	45.822502000	6.732609000	1226.6		
T	45.822498000	6.732419000	1224.1		
T	45.822544000	6.732536000	1225.7		
T	45.822456000	6.731991000	1218.7		
T	45.822376000	6.731740000	1215.8		
T	45.822067000	6.731378000	1210.8		
T	45.821823000	6.730845000	1202.7		
T	45.821766000	6.730523000	1197.3		
T	45.821938000	6.730207000	1194.2		
T	45.821938000	6.729397000	1185.4		
T	45.821739000	6.729405000	1184.2		
T	45.821529000	6.729213000	1181.4		
T	45.821175000	6.727550000	1164.6		
T	45.821293000	6.727334000	1162.7		
T	45.821594000	6.727054000	1160.8		
T	45.821751000	6.727055000	1161.5		
T	45.821747000	6.727219000	1163.3		
T	45.821693000	6.727153000	1162.3		
T	45.821827000	6.727381000	1165.3		
T	45.821705000	6.727208000	1163.0		
T	45.821678000	6.727034000	1161.0		
T	45.821587000	6.727005000	1160.1		
T	45.821480000	6.727147000	1161.3		
T	45.821362000	6.726942000	1157.7		
T	45.821407000	6.727044000	1159.5		
T	45.821373000	6.727000000	1158.6		
T	45.821365000	6.726933000	1157.5		
T	45.821407000	6.727047000	1159.6		
T	45.821358000	6.726751000	1153.5		
T	45.821209000	6.727323000	1162.0		
T	45.821495000	6.727256000	1162.7		
T	45.821606000	6.727091000	1161.3		
T	45.822098000	6.726922000	1160.6		
T	45.822132000	6.726719000	1157.5		
T	45.821873000	6.726716000	1156.4		
T	45.821774000	6.726584000	1153.0		
T	45.821888000	6.726357000	1148.7		
T	45.821877000	6.726215000	1144.5		
T	45.822033000	6.725951000	1137.7		
T	45.822224000	6.725863000	1135.9		
T	45.822720000	6.725825000	1133.1		
T	45.823059000	6.725677000	1125.5		
T	45.823261000	6.725658000	1123.0		
T	45.823147000	6.725528000	1120.6		
T	45.822811000	6.725352000	1120.1		
T	45.822559000	6.725322000	1121.4		
T	45.821075000	6.725961000	1132.1		
T	45.820328000	6.726645000	1137.3		
T	45.819530000	6.727085000	1137.0		
T	45.818890000	6.727146000	1135.3		
T	45.818451000	6.727306000	1136.7		
T	45.817757000	6.727418000	1141.2		
T	45.817265000	6.727576000	1146.2		
T	45.816860000	6.727485000	1151.0		
T	45.816525000	6.727063000	1148.8		
T	45.816387000	6.726999000	1148.8		
T	45.816410000	6.726738000	1148.0		
T	45.816334000	6.726656000	1148.3		
T	45.815807000	6.726258000	1151.6		
T	45.815475000	6.726171000	1154.5		
T	45.814568000	6.726218000	1157.0		
T	45.814335000	6.726384000	1156.4		
T	45.814083000	6.726694000	1157.2		
T	45.813751000	6.726877000	1157.8		
T	45.812321000	6.726755000	1159.7		
T	45.811619000	6.726883000	1160.0		
T	45.811111000	6.727148000	1160.0		
